Title,Year,genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
127 Hours,2010,Adventure|Biography|Drama|Thriller,English,USA,R,94,1.85,18000000,18329466,Danny Boyle,James Franco,Treat Williams,Kate Burton,279179,440,450,7.6
3 Backyards,2010,Drama,English,USA,R,88,,300000,,Eric Mendelsohn,Embeth Davidtz,Edie Falco,Kathryn Erbe,554,23,20,5.2
3,2010,Comedy|Drama|Romance,German,Germany,Unrated,119,2.35,,59774,Tom Tykwer,Devid Striesow,Sebastian Schipper,Sophie Rois,4212,18,76,6.8
8: The Mormon Proposition,2010,Documentary,English,USA,R,80,1.78,2500000,99851,Reed Cowan,Dustin Lance Black,Emily Pearson,Gavin Newsom,1138,30,28,7.1
A Turtle's Tale: Sammy's Adventures,2010,Adventure|Animation|Family,English,France,PG,88,2.35,,,Ben Stassen,Ed Begley Jr.,Jenny McCarthy,Stacy Keach,5385,22,56,6.1
Alice in Wonderland,2010,Adventure|Family|Fantasy,English,USA,PG,108,1.85,200000000,334185206,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,306336,736,451,6.5
All Good Things,2010,Crime|Drama|Mystery|Romance|Thriller,English,USA,R,101,1.85,,578382,Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,41249,67,140,6.3
Alpha and Omega,2010,Adventure|Animation|Comedy|Family|Romance,English,USA,PG,90,1.85,20000000,25077977,Anthony Bell,Kevin Sussman,Larry Miller,Christine Lakin,10986,84,84,5.3
Amigo,2010,Drama|War,English,USA,R,124,,1700000,183490,John Sayles,Brian Lee Franklin,John Arcilla,Ronnie Lazaro,463,8,35,5.8
Anderson's Cross,2010,Comedy|Drama|Romance,English,USA,R,98,,300000,,Jerome Elston Scott,Taran Killam,Joanna Cassidy,Ryan Carnes,95,7,8,7.2
Animals United,2010,Animation|Comedy|Family,German,Germany,PG,93,2.39,,,Reinhard Klooss,Jim Broadbent,Vanessa Redgrave,James Corden,4599,44,36,4.9
Another Year,2010,Comedy|Drama,English,UK,PG-13,129,2.35,10000000,3205244,Mike Leigh,Jim Broadbent,Imelda Staunton,Phil Davis,23629,141,248,7.3
Barney's Version,2010,Comedy|Drama,English,Canada,R,134,2.35,,7501404,Richard J. Lewis,Mark Addy,Atom Egoyan,Paul Gross,21086,87,193,7.3
Barry Munday,2010,Comedy|Drama|Romance,English,USA,R,95,1.85,,,Chris D'Arienzo,Judy Greer,Cybill Shepherd,Shea Whigham,3443,20,34,5.9
Beginners,2010,Comedy|Drama|Romance,English,USA,R,105,1.85,3200000,5776314,Mike Mills,Goran Visnjic,Lou Taylor Pucci,Mary Page Keller,73349,142,261,7.2
